country,year,tax_price_only,ets_price_only,has_tax,has_ets,any_carbon_price_dummy,carbon_price_max,tax_type,tax_price
Albania,2024,13.111355,0.000000,1,0,1,13.111355,1,13.111355
Albania,2025,13.691905,0.000000,1,0,1,13.691905,1,13.691905
Argentina,2018,8.914348,0.000000,1,0,1,8.914348,1,8.914348
Argentina,2019,6.187569,0.000000,1,0,1,6.187569,1,6.187569
Argentina,2020,6.342015,0.000000,1,0,1,6.342015,1,6.342015
Argentina,2021,5.321599,0.000000,1,0,1,5.321599,1,5.321599
Argentina,2022,4.995626,0.000000,1,0,1,4.995626,1,4.995626
Argentina,2023,3.218257,0.000000,1,0,1,3.218257,1,3.218257
Argentina,2024,0.811554,0.000000,1,0,1,0.811554,1,0.811554
Argentina,2025,5.327915,0.000000,1,0,1,5.327915,1,5.327915
Canada,2019,14.995876,0.000000,1,0,1,14.995876,1,14.995876
Canada,2020,21.101498,0.000000,1,0,1,21.101498,1,21.101498
Canada,2021,31.834461,31.834461,1,1,1,31.834461,3,31.834461
Canada,2022,39.961637,39.961637,1,1,1,39.961637,3,39.961637
Canada,2023,48.030740,48.030740,1,1,1,48.030740,3,48.030740
Canada,2024,58.944887,58.944887,1,1,1,58.944887,3,58.944887
Chile,2017,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Chile,2018,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Chile,2019,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Chile,2020,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Chile,2021,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Chile,2022,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Chile,2023,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Chile,2024,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Chile,2025,5.000000,0.000000,1,0,1,5.000000,1,5.000000
Colombia,2017,5.207904,0.000000,1,0,1,5.207904,1,5.207904
Colombia,2018,5.670415,0.000000,1,0,1,5.670415,1,5.670415
Colombia,2019,5.172635,0.000000,1,0,1,5.172635,1,5.172635
Colombia,2020,4.244866,0.000000,1,0,1,4.244866,1,4.244866
Colombia,2021,4.605677,0.000000,1,0,1,4.605677,1,4.605677
Colombia,2022,5.013272,0.000000,1,0,1,5.013272,1,5.013272
Colombia,2023,5.035342,0.000000,1,0,1,5.035342,1,5.035342
Colombia,2024,6.678547,0.000000,1,0,1,6.678547,1,6.678547
Colombia,2025,6.536619,0.000000,1,0,1,6.536619,1,6.536619
Denmark,2007,16.228525,1.251892,1,1,1,16.228525,3,16.228525
Denmark,2008,19.381085,34.483320,1,1,1,34.483320,3,34.483320
Denmark,2009,16.744281,15.550804,1,1,1,16.744281,3,16.744281
Denmark,2010,27.937873,17.265976,1,1,1,27.937873,3,27.937873
Denmark,2011,29.760060,23.756880,1,1,1,29.760060,3,29.760060
Denmark,2012,28.706724,9.322488,1,1,1,28.706724,3,28.706724
Denmark,2013,27.843650,6.043960,1,1,1,27.843650,3,27.843650
Denmark,2014,30.573390,6.757100,1,1,1,30.573390,3,30.573390
Denmark,2015,24.257766,7.689825,1,1,1,24.257766,3,24.257766
Denmark,2016,26.085013,5.921776,1,1,1,26.085013,3,26.085013
Denmark,2017,24.542328,5.644848,1,1,1,24.542328,3,24.542328
Denmark,2018,28.596322,16.263720,1,1,1,28.596322,3,28.596322
Denmark,2019,26.153074,24.505716,1,1,1,26.153074,3,26.153074
Denmark,2020,25.673504,18.536520,1,1,1,25.673504,3,25.673504
Denmark,2021,27.919706,49.779548,1,1,1,49.779548,3,49.779548
Denmark,2022,26.367407,86.526108,1,1,1,86.526108,3,86.526108
Denmark,2023,26.293067,96.298125,1,1,1,96.298125,3,96.298125
Denmark,2024,28.399510,61.301547,1,1,1,61.301547,3,61.301547
Denmark,2025,108.434780,70.370124,1,1,1,108.434780,3,108.434780
Estonia,2011,2.828200,23.756880,1,1,1,23.756880,3,23.756880
Estonia,2012,2.671200,9.322488,1,1,1,9.322488,3,9.322488
Estonia,2013,2.561000,6.043960,1,1,1,6.043960,3,6.043960
Estonia,2014,2.758000,6.757100,1,1,1,6.757100,3,6.757100
Estonia,2015,2.151000,7.689825,1,1,1,7.689825,3,7.689825
Estonia,2016,2.286400,5.921776,1,1,1,5.921776,3,5.921776
Estonia,2017,2.138200,5.644848,1,1,1,5.644848,3,5.644848
Estonia,2018,2.464200,16.263720,1,1,1,16.263720,3,16.263720
Estonia,2019,2.247200,24.505716,1,1,1,24.505716,3,24.505716
Estonia,2020,2.187200,18.536520,1,1,1,18.536520,3,18.536520
Estonia,2021,2.349200,49.779548,1,1,1,49.779548,3,49.779548
Estonia,2022,2.210400,86.526108,1,1,1,86.526108,3,86.526108
Estonia,2023,2.175000,96.298125,1,1,1,96.298125,3,96.298125
Estonia,2024,2.149800,61.301547,1,1,1,61.301547,3,61.301547
Estonia,2025,26.970000,70.370124,1,1,1,70.370124,3,70.370124
Finland,2000,16.392948,0.000000,1,0,1,16.392948,1,16.392948
Finland,2001,15.155712,0.000000,1,0,1,15.155712,1,15.155712
Finland,2002,14.970384,0.000000,1,0,1,14.970384,1,14.970384
Finland,2003,19.658255,0.000000,1,0,1,19.658255,1,19.658255
Finland,2004,22.237600,0.000000,1,0,1,22.237600,1,22.237600
Finland,2005,23.390995,19.049730,1,1,1,23.390995,3,23.390995
Finland,2006,21.847720,32.353992,1,1,1,32.353992,3,32.353992
