geo,year,sector,co2_kt,sec,coverage
AT,1990,CRF1A1A,11056.34,power_heat,covered
AT,1991,CRF1A1A,11767.76,power_heat,covered
AT,1992,CRF1A1A,8599.2,power_heat,covered
AT,1993,CRF1A1A,8430.92,power_heat,covered
AT,1994,CRF1A1A,8712.23,power_heat,covered
AT,1995,CRF1A1A,9811.7,power_heat,covered
AT,1996,CRF1A1A,11073.22,power_heat,covered
AT,1997,CRF1A1A,11107.87,power_heat,covered
AT,1998,CRF1A1A,10103.22,power_heat,covered
AT,1999,CRF1A1A,10048.58,power_heat,covered
AT,2000,CRF1A1A,9768.09,power_heat,covered
AT,2001,CRF1A1A,11269.82,power_heat,covered
AT,2002,CRF1A1A,10529.16,power_heat,covered
AT,2003,CRF1A1A,12985.55,power_heat,covered
AT,2004,CRF1A1A,12685.21,power_heat,covered
AT,2005,CRF1A1A,12726.35,power_heat,covered
AT,2006,CRF1A1A,11638.86,power_heat,covered
AT,2007,CRF1A1A,10394.12,power_heat,covered
AT,2008,CRF1A1A,10300.55,power_heat,covered
AT,2009,CRF1A1A,9256.32,power_heat,covered
AT,2010,CRF1A1A,10660.6,power_heat,covered
AT,2011,CRF1A1A,10248.2,power_heat,covered
AT,2012,CRF1A1A,8805.06,power_heat,covered
AT,2013,CRF1A1A,7804.15,power_heat,covered
AT,2014,CRF1A1A,6308.97,power_heat,covered
AT,2015,CRF1A1A,7299.32,power_heat,covered
AT,2016,CRF1A1A,7109.16,power_heat,covered
AT,2017,CRF1A1A,7784.17,power_heat,covered
AT,2018,CRF1A1A,6872.45,power_heat,covered
AT,2019,CRF1A1A,6947.23,power_heat,covered
AT,2020,CRF1A1A,5661.35,power_heat,covered
AT,2021,CRF1A1A,5641.84,power_heat,covered
AT,2022,CRF1A1A,5595.19,power_heat,covered
AT,2023,CRF1A1A,4450.36,power_heat,covered
AT,2024,CRF1A1A,4351.43,power_heat,covered
BE,1990,CRF1A1A,23173.02,power_heat,covered
BE,1991,CRF1A1A,23835.79,power_heat,covered
BE,1992,CRF1A1A,22890.56,power_heat,covered
BE,1993,CRF1A1A,22886.71,power_heat,covered
BE,1994,CRF1A1A,23931.42,power_heat,covered
BE,1995,CRF1A1A,23803.56,power_heat,covered
BE,1996,CRF1A1A,22706.02,power_heat,covered
BE,1997,CRF1A1A,21875.41,power_heat,covered
BE,1998,CRF1A1A,24705.59,power_heat,covered
BE,1999,CRF1A1A,21440.99,power_heat,covered
BE,2000,CRF1A1A,23205.74,power_heat,covered
BE,2001,CRF1A1A,20825.65,power_heat,covered
BE,2002,CRF1A1A,22237.92,power_heat,covered
BE,2003,CRF1A1A,22957.74,power_heat,covered
BE,2004,CRF1A1A,23802.02,power_heat,covered
BE,2005,CRF1A1A,24046.05,power_heat,covered
BE,2006,CRF1A1A,22764.37,power_heat,covered
BE,2007,CRF1A1A,22037.59,power_heat,covered
BE,2008,CRF1A1A,19990.79,power_heat,covered
BE,2009,CRF1A1A,20384.0,power_heat,covered
BE,2010,CRF1A1A,20955.97,power_heat,covered
BE,2011,CRF1A1A,17982.98,power_heat,covered
BE,2012,CRF1A1A,17513.49,power_heat,covered
BE,2013,CRF1A1A,16205.83,power_heat,covered
BE,2014,CRF1A1A,14967.94,power_heat,covered
BE,2015,CRF1A1A,15793.96,power_heat,covered
BE,2016,CRF1A1A,14543.84,power_heat,covered
BE,2017,CRF1A1A,14619.49,power_heat,covered
BE,2018,CRF1A1A,14763.03,power_heat,covered
BE,2019,CRF1A1A,14960.31,power_heat,covered
BE,2020,CRF1A1A,13810.6,power_heat,covered
BE,2021,CRF1A1A,12777.46,power_heat,covered
BE,2022,CRF1A1A,13449.69,power_heat,covered
BE,2023,CRF1A1A,10842.99,power_heat,covered
BE,2024,CRF1A1A,9760.13,power_heat,covered
BG,1990,CRF1A1A,35178.69,power_heat,covered
BG,1991,CRF1A1A,29038.12,power_heat,covered
BG,1992,CRF1A1A,28122.04,power_heat,covered
BG,1993,CRF1A1A,28548.52,power_heat,covered
BG,1994,CRF1A1A,25846.72,power_heat,covered
BG,1995,CRF1A1A,26070.04,power_heat,covered
BG,1996,CRF1A1A,26111.86,power_heat,covered
BG,1997,CRF1A1A,28169.66,power_heat,covered
BG,1998,CRF1A1A,27052.9,power_heat,covered
BG,1999,CRF1A1A,23090.97,power_heat,covered
BG,2000,CRF1A1A,23228.36,power_heat,covered
BG,2001,CRF1A1A,26929.13,power_heat,covered
BG,2002,CRF1A1A,24161.67,power_heat,covered
