country,predicted_effect
Luxembourg,-0.5191183948168446
Malta,-0.3775873749027723
Portugal,-0.2955949302780436
Netherlands,-0.26161155420605725
Singapore,-0.2570539887395198
Ireland,-0.2473860294929963
Belgium,-0.24372894914229754
Cyprus,-0.22858117141958179
Denmark,-0.18243319971112593
Sweden,-0.17494219621288384
Austria,-0.16257402193725495
France,-0.15895881579073787
Spain,-0.15674862947753526
Greece,-0.14733711091686674
Switzerland,-0.14246828812071105
Finland,-0.1416935766771896
Italy,-0.14096298206737917
Iceland,-0.1384276971035017
New Zealand,-0.13755948124390566
Hungary,-0.12850244312625186
Slovakia,-0.11294057434663093
Estonia,-0.11270236087132371
Slovenia,-0.11011107844814316
Latvia,-0.09108220119495958
Bulgaria,-0.08793577177100002
Lithuania,-0.08589052404883196
Australia,-0.0813035113294217
United Kingdom,-0.08116407361865857
Croatia,-0.0757526260469602
Norway,-0.07180487356361547
Chile,-0.0535486192085336
Canada,-0.04367229839998038
Germany,-0.018674866770610338
Poland,-0.01753083222775783
Colombia,0.00031006099662978653
South Africa,0.006425616114093015
Japan,0.020674400144855422
Romania,0.021589625870007144
Argentina,0.03319911164448427
Mexico,0.040587293253895616
Ukraine,0.08363665734263517
Kazakhstan,0.34869327348451123
